TYPECOM,COM,REG,DEP,CTCD,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,COMPARENT
COM,01001,84,01,01D,012,5,ABERGEMENT CLEMENCIAT,Abergement-Clémenciat,L'Abergement-Clémenciat,0108,
COM,01002,84,01,01D,011,5,ABERGEMENT DE VAREY,Abergement-de-Varey,L'Abergement-de-Varey,0101,
COM,01004,84,01,01D,011,1,AMBERIEU EN BUGEY,Ambérieu-en-Bugey,Ambérieu-en-Bugey,0101,
COM,01005,84,01,01D,012,1,AMBERIEUX EN DOMBES,Ambérieux-en-Dombes,Ambérieux-en-Dombes,0122,
COM,01006,84,01,01D,011,1,AMBLEON,Ambléon,Ambléon,0104,
COM,01007,84,01,01D,011,1,AMBRONAY,Ambronay,Ambronay,0101,
COM,01008,84,01,01D,011,1,AMBUTRIX,Ambutrix,Ambutrix,0101,
COM,01009,84,01,01D,011,1,ANDERT ET CONDON,Andert-et-Condon,Andert-et-Condon,0104,
COM,01010,84,01,01D,011,1,ANGLEFORT,Anglefort,Anglefort,0110,
COM,01011,84,01,01D,014,1,APREMONT,Apremont,Apremont,0114,
COM,01012,84,01,01D,011,1,ARANC,Aranc,Aranc,0110,
COM,01013,84,01,01D,011,1,ARANDAS,Arandas,Arandas,0101,
COM,01014,84,01,01D,014,1,ARBENT,Arbent,Arbent,0115,
COM,01015,84,01,01D,011,1,ARBOYS EN BUGEY,Arboys en Bugey,Arboys en Bugey,0104,
COMD,01015,,,,,1,ARBIGNIEU,Arbignieu,Arbignieu,,01015
COM,01016,84,01,01D,012,1,ARBIGNY,Arbigny,Arbigny,0117,
COM,01017,84,01,01D,011,1,ARGIS,Argis,Argis,0101,
COM,01019,84,01,01D,011,1,ARMIX,Armix,Armix,0110,
COM,01021,84,01,01D,012,1,ARS SUR FORMANS,Ars-sur-Formans,Ars-sur-Formans,0122,
COM,01022,84,01,01D,011,1,ARTEMARE,Artemare,Artemare,0110,
COM,01023,84,01,01D,012,1,ASNIERES SUR SAONE,Asnières-sur-Saône,Asnières-sur-Saône,0117,
COM,01024,84,01,01D,012,1,ATTIGNAT,Attignat,Attignat,0102,
COM,01025,84,01,01D,012,0,BAGE DOMMARTIN,Bâgé-Dommartin,Bâgé-Dommartin,0117,
COMD,01025,,,,,0,BAGE LA VILLE,Bâgé-la-Ville,Bâgé-la-Ville,,01025
COM,01026,84,01,01D,012,0,BAGE LE CHATEL,Bâgé-le-Châtel,Bâgé-le-Châtel,0117,
COM,01027,84,01,01D,012,0,BALAN,Balan,Balan,0112,
COM,01028,84,01,01D,012,0,BANEINS,Baneins,Baneins,0122,
COM,01029,84,01,01D,012,0,BEAUPONT,Beaupont,Beaupont,0118,
