cog,name,abr,cp,specificPlace
64001,AAST,AAST,64460,
55001,ABAINVILLE,ABAINVILLE,55130,
59001,ABANCOURT,ABANCOURT,59268,
60001,ABANCOURT,ABANCOURT,N/A,
54001,ABAUCOURT,ABAUCOURT,54610,
55002,ABAUCOURT HAUTECOURT,ABAUCOURT HAUTECOURT,55400,
25001,ABBANS DESSOUS,ABBANS DESSOUS,25320,
25002,ABBANS DESSUS,ABBANS DESSUS,25440,
44001,ABBARETZ,ABBARETZ,44170,
02001,ABBECOURT,ABBECOURT,02300,
60002,ABBECOURT,ABBECOURT,N/A,
25003,ABBENANS,ABBENANS,25340,
80001,ABBEVILLE,ABBEVILLE,80100,
91001,ABBEVILLE LA RIVIERE,ABBEVILLE LA RIVIERE,91150,
78001,ABBEVILLE LA RIVIERE,ABBEVILLE LA RIVIERE,N/A,
54002,ABBEVILLE LES CONFLANS,ABBEVILLE LES CONFLANS,54800,
60003,ABBEVILLE SAINT LUCIEN,ABBEVILLE ST LUCIEN,60480,
25004,ABBEVILLERS,ABBEVILLERS,25310,
34001,ABEILHAN,ABEILHAN,34290,
70001,ABELCOURT,ABELCOURT,70300,
64002,ABERE,ABERE,64160,
01001,ABERGEMENT CLEMENCIAT,L ABERGEMENT CLEMENCIAT,01400,
71001,ABERGEMENT DE CUISERY,L ABERGEMENT DE CUISERY,71290,
01002,ABERGEMENT DE VAREY,L ABERGEMENT DE VAREY,01640,
39001,ABERGEMENT LA RONCE,ABERGEMENT LA RONCE,39500,
39002,ABERGEMENT LE GRAND,ABERGEMENT LE GRAND,39600,
39003,ABERGEMENT LE PETIT,ABERGEMENT LE PETIT,39800,
39004,ABERGEMENT LES THESY,ABERGEMENT LES THESY,39110,
39005,ABERGEMENT SAINT JEAN,,,
71002,ABERGEMENT SAINTE COLOMBE,L ABERGEMENT STE COLOMBE,71370,
64003,ABIDOS,ABIDOS,64150,
37001,ABILLY,ABILLY,37160,
64004,ABITAIN,ABITAIN,64390,
24001,ABJAT SUR BANDIAT,ABJAT SUR BANDIAT,24300,
62001,ABLAIN SAINT NAZAIRE,ABLAIN ST NAZAIRE,62153,
80002,ABLAINCOURT PRESSOIR,ABLAINCOURT PRESSOIR,80320,
62002,ABLAINZEVELLE,ABLAINZEVELLE,62116,
51001,ABLANCOURT,ABLANCOURT,51240,
95002,ABLEIGES,ABLEIGES,95450,
78002,ABLEIGES,ABLEIGES,N/A,
88001,ABLEUVENETTES,LES ABLEUVENETTES,88270,
78003,ABLIS,ABLIS,78660,
14001,ABLON,ABLON,14600,
94001,ABLON SUR SEINE,ABLON SUR SEINE,94480,
78004,ABLON SUR SEINE,ABLON SUR SEINE,N/A,
42001,ABOEN,ABOEN,42380,
54003,ABONCOURT,ABONCOURT,54115,
57001,ABONCOURT,ABONCOURT,N/A,
70002,ABONCOURT,ABONCOURT,N/A,
70002,ABONCOURT GESINCOURT,ABONCOURT GESINCOURT,70500,
57002,ABONCOURT SUR SEILLE,ABONCOURT SUR SEILLE,57590,
74001,ABONDANCE,ABONDANCE,74360,
28001,ABONDANT,ABONDANT,28410,
64005,ABOS,ABOS,64360,
57003,ABRESCHVILLER,ABRESCHVILLER,57560,
03001,ABREST,ABREST,03200,
38001,ABRETS EN DAUPHINE,LES ABRETS EN DAUPHINE,38490,FITILIEU
05001,ABRIES RISTOLAS,ABRIES RISTOLAS,05460,ABRIES
59002,ABSCON,ABSCON,59215,
79001,ABSIE,L ABSIE,79240,
97101,ABYMES,LES ABYMES,97139,
16001,ABZAC,ABZAC,16500,
33001,ABZAC,ABZAC,N/A,
25005,ACCOLANS,ACCOLANS,25250,
07001,ACCONS,ACCONS,07160,
64006,ACCOUS,ACCOUS,64490,
57004,ACHAIN,ACHAIN,57340,
85152,ACHARDS,LES ACHARDS,85150,LA CHAPELLE ACHARD
57006,ACHEN,ACHEN,57412,
67001,ACHENHEIM,ACHENHEIM,67204,
18001,ACHERES,ACHERES,18250,
78005,ACHERES,ACHERES,N/A,
77001,ACHERES LA FORET,ACHERES LA FORET,77760,
02002,ACHERY,ACHERY,02800,
80003,ACHEUX EN AMIENOIS,ACHEUX EN AMIENOIS,80560,
80004,ACHEUX EN VIMEU,ACHEUX EN VIMEU,80210,
62003,ACHEVILLE,ACHEVILLE,62320,
70003,ACHEY,ACHEY,70180,
62004,ACHICOURT,ACHICOURT,62217,
62005,ACHIET LE GRAND,ACHIET LE GRAND,62121,
62006,ACHIET LE PETIT,ACHIET LE PETIT,62121,
58001,ACHUN,ACHUN,58110,
60004,ACHY,ACHY,60690,
35001,ACIGNE,ACIGNE,35690,
27001,ACLOU,ACLOU,27800,
27002,ACON,ACON,27570,
97601,ACOUA,ACOUA,97630,
62007,ACQ,ACQ,62144,
27003,ACQUIGNY,ACQUIGNY,27400,
62008,ACQUIN WESTBECOURT,ACQUIN WESTBECOURT,62380,
02003,ACY,ACY,02200,
08001,ACY,ACY,N/A,
60005,ACY EN MULTIEN,ACY EN MULTIEN,60620,
08001,ACY ROMANCE,ACY ROMANCE,08300,
57007,ADAINCOURT,ADAINCOURT,57580,
78006,ADAINVILLE,ADAINVILLE,78113,
25006,ADAM LES PASSAVANT,ADAM LES PASSAVANT,25360,
25007,ADAM LES VERCEL,ADAM LES VERCEL,25530,
67002,ADAMSWILLER,ADAMSWILLER,67320,
65001,ADAST,ADAST,65260,
65002,ADE,ADE,65100,
57008,ADELANGE,ADELANGE,57380,
70004,ADELANS ET LE VAL DE BITHAINE,ADELANS ET LE VAL DE BITHAINE,70200,
65003,ADERVIELLE POUCHERGUES,ADERVIELLE POUCHERGUES,65240,
79002,ADILLY,ADILLY,79200,
62009,ADINFER,ADINFER,62116,
34002,ADISSAN,ADISSAN,34230,
16002,ADJOTS,LES ADJOTS,16700,
45001,ADON,ADON,45230,
08002,ADON,ADON,N/A,
38002,ADRETS,LES ADRETS,38190,
83001,ADRETS DE L ESTEREL,LES ADRETS DE L ESTEREL,83600,
86001,ADRIERS,ADRIERS,86430,
2A001,AFA,AFA,20167,
20001,AFA,AFA,N/A,
19001,AFFIEUX,AFFIEUX,19260,
54004,AFFLEVILLE,AFFLEVILLE,54800,
69001,AFFOUX,AFFOUX,69170,
54005,AFFRACOURT,AFFRACOURT,54740,
62010,AFFRINGUES,AFFRINGUES,62380,
31001,AGASSAC,AGASSAC,31230,
34003,AGDE,AGDE,34300,
34004,AGEL,AGEL,34210,
47001,AGEN,AGEN,47000,
12001,AGEN D AVEYRON,AGEN D AVEYRON,12630,
