name,redirect_uris,post_logout_redirect_uris,adressesIp,datapassId,scopes,type,userinfo_signed_response_alg,email,phone,clientIdV1,site
,https://fsp1-low.docker.dev-franceconnect.fr/oidc-callback,https://fsp1-low.docker.dev-franceconnect.fr/client/logout-callback,,9983001,openid,public,RS256,test@test.fr,0612345681,,https://test.fr
bdd-sp-format-name-too-long-123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890,https://fsp1-low.docker.dev-franceconnect.fr/oidc-callback,https://fsp1-low.docker.dev-franceconnect.fr/client/logout-callback,,9983002,openid,public,RS256,test@test.fr,0612345681,,https://test.fr
bdd-sp-format-redirect-uris-missing,,https://fsp1-low.docker.dev-franceconnect.fr/client/logout-callback,,9983003,openid,public,RS256,test@test.fr,0612345681,,https://test.fr
bdd-sp-format-redirect-uris-wrong,http://localhost:8080/oidc-callback,https://fsp1-low.docker.dev-franceconnect.fr/client/logout-callback,,9983004,openid,public,RS256,test@test.fr,0612345681,,https://test.fr
bdd-sp-format-post-logout-redirect-uris-missing,https://fsp1-low.docker.dev-franceconnect.fr/oidc-callback,,,9983005,openid,public,RS256,test@test.fr,0612345681,,https://test.fr
bdd-sp-format-post-logout-redirect-uris-wrong,https://fsp1-low.docker.dev-franceconnect.fr/oidc-callback,https://fsp1-low/client/logout-callback,,9983006,openid,public,RS256,test@test.fr,0612345681,,https://test.fr
bdd-sp-format-adresses-ip-missing,https://fsp1-low.docker.dev-franceconnect.fr/oidc-callback,https://fsp1-low.docker.dev-franceconnect.fr/client/logout-callback,,9983007,openid,public,RS256,test@test.fr,0612345681,,https://test.fr
bdd-sp-format-adresses-ip-wrong,https://fsp1-low.docker.dev-franceconnect.fr/oidc-callback,https://fsp1-low.docker.dev-franceconnect.fr/client/logout-callback,1.1.1.1.1,9983008,openid,public,RS256,test@test.fr,0612345681,,https://test.fr
bdd-sp-format-datapass-id-missing,https://fsp1-low.docker.dev-franceconnect.fr/oidc-callback,https://fsp1-low.docker.dev-franceconnect.fr/client/logout-callback,1.1.1.1,,openid,public,RS256,test@test.fr,0612345681,,https://test.fr
bdd-sp-format-datapass-id-wrong,https://fsp1-low.docker.dev-franceconnect.fr/oidc-callback,https://fsp1-low.docker.dev-franceconnect.fr/client/logout-callback,,9983010wrong,openid,public,RS256,test@test.fr,0612345681,,https://test.fr
bdd-sp-format-scopes-missing,https://fsp1-low.docker.dev-franceconnect.fr/oidc-callback,https://fsp1-low.docker.dev-franceconnect.fr/client/logout-callback,,9983011,,public,RS256,test@test.fr,0612345681,,https://test.fr
